city,population,"violent crime","murder and nonnegligent manslaughter","rape (revised definition)","rape (legacy definition)",robbery,"aggravated assault","property crime",burglary,"larceny-theft","motor vehicle theft",arson
Presidio,4204,1,0,0,0,0,1,19,9,9,1,0
Primera,4146,2,0,0,0,0,2,22,12,8,2,0
Princeton,7684,10,0,0,2,0,8,116,36,73,7,1
Progreso,5776,9,0,0,1,2,6,86,37,42,7,1
Prosper,12501,12,0,0,2,1,9,202,78,121,3,0
Queen City,1464,9,0,0,2,0,7,65,22,42,1,0
Quitman,1801,2,0,0,0,0,2,44,19,22,3,0
Ralls,1966,2,0,0,0,0,2,7,5,2,0,0
Rancho Viejo,2486,1,0,0,0,0,1,8,5,3,0,0
Ranger,2456,9,0,0,2,1,6,42,12,25,5,0
Ransom Canyon,1114,1,0,0,0,0,1,4,0,4,0,0
Raymondville,11164,178,0,0,9,4,165,404,111,287,6,8
Red Oak,11168,11,0,0,0,8,3,360,62,275,23,0
Refugio,2828,9,0,0,1,1,7,57,15,41,1,0
Reno,3261,2,0,0,0,0,2,61,20,41,0,0
Richardson,104577,128,2,0,15,60,51,2758,539,2068,151,4
Richland Hills,8012,5,0,0,0,1,4,219,54,142,23,0
Richmond,11841,53,0,0,9,11,33,178,43,122,13,0
Riesel,1018,4,0,0,0,0,4,10,1,9,0,0
Rio Grande City,13971,44,0,0,2,5,37,509,80,382,47,1
Rio Hondo,2429,7,0,0,0,0,7,44,6,38,0,0
River Oaks,7620,8,0,0,0,2,6,163,48,109,6,0
Roanoke,6644,7,0,0,0,1,6,145,29,108,8,0
Robinson,11237,19,1,0,0,2,16,211,44,160,7,0
Robstown,11665,15,1,0,0,3,11,455,102,336,17,0
Rockdale,5391,7,1,0,0,0,6,154,26,122,6,0
Rockport,9256,32,3,0,4,6,19,596,144,429,23,1
Rockwall,40622,25,1,10,0,2,12,733,85,585,63,0
Rollingwood,1529,1,0,0,0,1,0,19,6,13,0,0
Roma,9900,39,0,0,0,8,31,109,17,70,22,6
Roman Forest,1820,0,0,0,0,0,0,39,4,34,1,0
Roscoe,1298,1,0,0,0,0,1,12,10,2,0,0
Rosenberg,32059,94,1,0,11,31,51,676,134,495,47,0
Round Rock,108577,149,2,0,24,37,86,2428,297,2086,45,6
Rowlett,58177,82,0,16,0,14,52,897,171,689,37,3
Royse City,10132,7,0,2,0,0,5,92,22,63,7,0
Runaway Bay,1352,0,0,0,0,0,0,1,1,0,0,0
Sabinal,1692,1,0,0,0,0,1,21,4,17,0,0
Sachse,21986,14,0,3,0,1,10,229,50,169,10,0
Salado,2159,0,0,0,0,0,0,31,3,28,0,0
San Angelo,96661,263,2,54,0,22,185,3592,682,2725,185,12
San Antonio,1399725,8828,72,0,663,2192,5901,79994,14850,58567,6577,315
San Augustine,2081,6,0,0,0,1,5,30,4,23,3,0
San Diego,4437,13,0,0,0,2,11,133,48,85,0,1
Sanger,7226,14,0,0,2,4,8,170,34,123,13,1
San Juan,35588,191,1,0,28,25,137,1071,200,813,58,2
San Marcos,51786,220,3,0,30,50,137,1885,374,1362,149,5
San Saba,3086,7,0,1,0,0,6,63,28,33,2,1
Sansom Park Village,4804,11,0,0,1,4,6,132,61,58,13,0
Santa Anna,1067,4,0,0,2,0,2,22,7,14,1,0
Santa Fe,12565,12,1,0,1,1,9,272,75,177,20,2
Santa Rosa,2895,3,0,0,0,0,3,83,30,50,3,0
Schertz,35882,68,0,0,12,10,46,587,81,483,23,0
Schulenburg,2872,12,0,0,0,0,12,51,12,35,4,0
Seabrook,12580,17,0,0,0,3,14,183,47,121,15,0
Seagoville,15652,8,0,0,0,4,4,616,139,404,73,1
Seagraves,2581,11,0,0,3,1,7,45,16,25,4,0
Sealy,6163,35,0,0,1,5,29,179,50,125,4,0
Seguin,26635,61,1,0,6,21,33,1118,215,877,26,3
Selma,7747,15,0,0,1,2,12,240,35,181,24,0
Seminole,6877,9,0,0,4,0,5,97,16,74,7,0
Seven Points,1456,6,0,0,0,0,6,71,18,50,3,0
Seymour,2636,15,0,0,2,0,13,81,33,46,2,0
Shallowater,2516,0,0,0,0,0,0,11,9,2,0,0
Shamrock,2008,2,1,0,0,0,1,29,9,18,2,0
Shavano Park,3274,3,0,0,0,0,3,64,12,51,1,0
Shenandoah,2478,9,0,0,0,6,3,200,7,182,11,0
Sherman,39377,120,2,0,4,21,93,1316,312,958,46,6
Silsbee,6662,8,0,0,0,0,8,204,30,169,5,4
Sinton,5698,40,0,0,6,1,33,158,34,113,11,0
Slaton,6112,16,0,0,7,2,7,90,28,61,1,0
Smithville,3865,7,1,0,2,1,3,76,13,61,2,1
Snyder,11459,75,1,0,10,2,62,486,115,350,21,0
Socorro,32891,58,0,0,8,5,45,459,89,324,46,0
Somerset,1703,3,0,0,0,1,2,44,17,21,6,0
Sonora,2866,9,0,0,0,0,9,14,3,9,2,0
Sour Lake,1782,5,0,0,0,1,4,48,7,39,2,0
South Houston,17445,92,0,0,3,46,43,665,129,361,175,4
Southlake,28062,14,1,0,0,2,11,456,78,365,13,1
Southmayd,994,4,0,0,0,1,3,28,10,14,4,1
South Padre Island,2919,49,0,0,12,8,29,616,74,521,21,0
Southside Place,1775,0,0,0,0,0,0,15,1,14,0,0
Spearman,3292,3,1,0,2,0,0,32,8,23,1,0
Splendora,1667,6,0,0,0,1,5,19,6,10,3,0
Springtown,2698,16,0,0,0,0,16,86,17,66,3,0
Spring Valley,4009,7,0,0,1,1,5,142,23,113,6,0
Spur,1239,0,0,0,0,0,0,4,2,1,1,0
Stafford,18034,94,3,0,11,45,35,703,93,531,79,2
Stagecoach,561,0,0,0,0,0,0,8,8,0,0,0
Stamford,2999,16,0,0,0,1,15,95,40,49,6,0
Stanton,2651,2,0,0,1,1,0,30,7,22,1,0
Stephenville,18595,27,1,0,0,6,20,542,105,419,18,2
Stratford,2069,3,0,0,1,0,2,11,5,6,0,0
Sugar Land,83460,108,1,0,6,35,66,1613,256,1311,46,3
Sullivan City,4122,3,0,0,0,1,2,23,16,7,0,0
Sulphur Springs,15613,25,1,0,5,4,15,247,51,186,10,2
Sunrise Beach Village,692,0,0,0,0,0,0,5,1,4,0,0
Sunset Valley,696,3,0,0,0,3,0,121,1,120,0,0
Sweeny,3739,11,0,0,0,1,10,58,18,38,2,1
Sweetwater,10604,82,0,12,0,10,60,476,119,332,25,1
Taft,3053,19,0,0,12,0,7,52,15,34,3,0
Tatum,1405,7,0,0,0,0,7,58,17,40,1,0
Taylor,16317,30,0,0,1,8,21,493,93,393,7,2
Terrell,16233,78,6,0,3,15,54,644,178,423,43,4
Terrell Hills,5061,1,0,0,0,0,1,88,58,25,5,0
Texarkana,37467,329,2,0,21,71,235,2300,470,1725,105,27
Texas City,45793,126,2,0,0,55,69,1745,385,1267,93,3
The Colony,39903,48,0,0,6,7,35,556,114,407,35,6
Thorndale,1293,2,0,0,0,0,2,23,7,15,1,0
Thrall,899,0,0,0,0,0,0,28,7,21,0,0
Three Rivers,1887,25,1,0,0,0,24,60,19,39,2,0
Tioga,813,0,0,0,0,0,0,16,8,8,0,0
Tomball,11029,30,0,5,0,9,16,421,64,333,24,0
Tool,2264,7,0,0,0,0,7,47,13,31,3,0
Trinity,2636,13,0,0,1,2,10,67,27,36,4,0
Trophy Club,10173,9,0,0,1,2,6,109,12,93,4,0
Troy,1723,4,0,0,0,0,4,29,18,10,1,0
Tulia,4964,10,0,0,2,1,7,70,24,46,0,0
Tye,1248,8,0,0,2,0,6,30,3,25,2,3
Tyler,100033,376,5,43,0,53,275,4116,825,3111,180,10
Universal City,19344,52,2,0,2,9,39,412,108,271,33,4
University Park,24031,8,0,0,2,5,1,296,51,228,17,1
Uvalde,16218,104,0,0,7,8,89,976,152,804,20,5
Valley Mills,1187,1,0,0,0,0,1,32,10,22,0,0
Van,2644,3,1,0,0,0,2,42,15,27,0,0
Van Alstyne,3088,4,0,0,1,1,2,26,4,20,2,0
Venus,3105,4,0,0,0,0,4,29,7,20,2,1
Vernon,10703,37,0,0,6,2,29,346,86,239,21,6
Victoria,64979,396,1,53,0,58,284,2479,507,1908,64,15
Vidor,10984,58,0,0,0,11,47,520,112,361,47,0
Waco,127570,515,4,0,58,142,311,5422,1508,3751,163,42
Waelder,1085,0,0,0,0,0,0,17,4,13,0,0
Wake Village,5446,8,0,0,0,2,6,133,45,87,1,1
Waller,2375,9,0,0,0,2,7,94,29,61,4,0
Wallis,1269,4,0,0,0,0,4,21,8,10,3,1
Watauga,24210,22,0,0,0,6,16,459,81,358,20,2
Waxahachie,31530,33,2,0,0,11,20,1033,160,832,41,3
Weatherford,26702,7,0,0,1,1,5,660,83,555,22,3
Webster,11116,46,1,0,8,21,16,639,82,496,61,0
Weimar,2128,3,0,0,1,0,2,25,5,19,1,0
Weslaco,37248,389,2,0,22,41,324,2916,561,2238,117,2
West,2836,1,0,0,0,1,0,20,8,11,1,0
West Columbia,3907,18,0,0,4,3,11,110,29,78,3,0
West Orange,3463,7,0,0,0,1,6,308,26,274,8,0
Westover Hills,708,0,0,0,0,0,0,17,4,12,1,0
West Tawakoni,1605,0,0,0,0,0,0,14,4,10,0,0
Westworth,2554,6,0,0,0,4,2,181,15,160,6,0
Wharton,8767,57,0,0,2,6,49,381,77,291,13,1
Whitehouse,7919,9,0,0,4,1,4,77,17,53,7,0
White Oak,6447,7,0,0,5,1,1,93,20,70,3,0
Whitesboro,3823,6,0,0,1,0,5,63,14,46,3,0
White Settlement,16703,24,0,0,0,8,16,497,98,361,38,2
Whitewright,1607,9,0,0,3,0,6,36,8,25,3,0
Whitney,2108,2,0,0,0,1,1,80,16,64,0,0
Wichita Falls,104514,401,7,0,29,124,241,4558,995,3277,286,0
Willow Park,4248,0,0,0,0,0,0,44,13,27,4,0
Wills Point,3504,1,0,0,0,1,0,94,56,37,1,0
Wilmer,3805,6,0,0,1,0,5,149,65,73,11,1
Windcrest,5617,12,0,0,0,6,6,340,23,299,18,3
Wink,980,0,0,0,0,0,0,3,1,2,0,1
Winnsboro,3250,8,0,0,0,1,7,74,36,35,3,1
Winters,2539,4,0,0,0,1,3,22,10,11,1,0
Wolfforth,3983,12,0,0,0,0,12,47,8,38,1,0
Woodbranch,1344,1,0,0,0,0,1,17,1,16,0,0
Woodville,2531,3,0,0,0,1,2,32,13,19,0,0
Woodway,8626,8,0,0,1,2,5,143,20,121,2,0
Wortham,1044,1,0,0,0,0,1,51,12,37,2,0
Wylie,45138,32,1,9,0,3,19,526,75,433,18,0
Yoakum,5927,8,0,0,0,3,5,165,79,79,7,0
Yorktown,2133,12,0,0,7,0,5,52,21,30,1,0
