city,population,"violent crime","murder and nonnegligent manslaughter","rape (revised definition)","rape (legacy definition)",robbery,"aggravated assault","property crime",burglary,"larceny-theft","motor vehicle theft",arson
Combes,3035,3,0,0,1,0,2,33,10,20,3,0
Commerce,8267,28,0,0,9,7,12,212,61,138,13,1
Conroe,62962,216,1,29,0,60,126,2071,416,1550,105,1
Converse,20115,124,0,0,10,9,105,460,69,368,23,4
Coppell,40449,17,0,0,3,2,12,580,100,450,30,1
Copperas Cove,33780,95,0,0,14,18,63,1127,243,863,21,10
Corinth,20692,14,0,0,3,4,7,230,38,179,13,0
Corpus Christi,314523,1939,18,0,147,390,1384,14601,2595,11519,487,46
Corrigan,1559,6,0,0,1,0,5,62,14,45,3,0
Corsicana,23940,121,1,0,23,25,72,1209,303,879,27,2
Crandall,3016,7,0,0,0,0,7,54,22,27,5,1
Crane,3563,5,0,0,2,0,3,9,1,6,2,0
Crockett,6595,25,0,0,0,3,22,310,56,249,5,1
Crosbyton,1758,3,1,0,2,0,0,27,8,19,0,0
Crowell,921,0,0,0,0,0,0,0,0,0,0,0
Crowley,13804,14,1,0,0,4,9,360,89,256,15,0
Cuero,7011,83,0,0,7,1,75,261,49,207,5,0
Cumby,789,2,0,0,0,0,2,7,2,2,3,1
Daingerfield,2513,10,0,0,0,1,9,140,34,104,2,2
Dalhart,8340,53,0,0,2,0,51,174,49,121,4,0
Dallas,1255015,8330,143,0,543,4202,3442,52274,14516,30374,7384,455
Dalworthington Gardens,2337,1,0,0,0,1,0,37,10,17,10,0
Danbury,1730,1,0,0,1,0,0,8,4,4,0,0
Dayton,7361,24,0,0,4,4,16,224,55,142,27,
Decatur,6244,17,0,0,4,6,7,291,10,267,14,0
De Kalb,1663,4,0,0,0,0,4,54,25,26,3,0
De Leon,2205,4,0,0,0,0,4,46,16,29,1,0
Del Rio,35499,72,0,0,0,14,58,768,119,632,17,2
Denison,22652,94,4,11,0,15,64,844,145,646,53,0
Denton,123260,338,1,93,0,52,192,2777,472,2203,102,17
Denver City,4625,5,1,0,2,0,2,76,30,39,7,1
Desoto,51703,179,5,0,14,64,96,1727,475,1174,78,4
Diboll,5390,6,0,0,4,0,2,75,17,57,1,0
Dickinson,19204,37,1,0,3,7,26,592,159,393,40,1
Dilley,4023,6,0,0,0,1,5,81,30,46,5,2
Dimmitt,4500,15,0,0,0,2,13,138,47,80,11,0
Donna,16320,154,0,0,3,19,132,1068,267,727,74,2
Double Oak,2993,1,0,0,0,0,1,19,4,14,1,0
Driscoll,751,1,0,0,0,0,1,3,2,1,0,0
Dublin,3710,2,0,0,0,0,2,75,24,48,3,1
Dumas,15074,50,1,0,10,3,36,328,53,260,15,7
Duncanville,39811,146,1,0,7,96,42,1358,322,892,144,3
Eagle Pass,27578,29,2,0,0,3,24,870,171,688,11,1
Early,2785,27,0,0,3,1,23,65,17,48,0,0
Eastland,3912,9,0,0,0,1,8,154,33,117,4,0
East Mountain,801,5,0,0,0,0,5,13,11,1,1,0
Edcouch,3213,9,0,0,1,1,7,87,38,48,1,2
Edinburg,82271,277,1,0,30,50,196,4292,738,3299,255,8
Edna,5598,12,1,2,0,1,8,130,16,112,2,0
El Campo,11525,54,0,0,7,7,40,330,52,269,9,1
Electra,2762,5,0,0,1,1,3,35,13,20,2,0
Elgin,8259,21,1,0,2,1,17,164,50,103,11,0
El Paso,679700,2522,10,0,176,457,1879,15558,1771,12993,794,73
Elsa,6493,18,0,0,0,2,16,286,62,208,16,3
Ennis,18679,61,0,0,1,9,51,723,123,578,22,5
Euless,53236,89,0,0,4,39,46,1568,252,1177,139,6
Everman,6276,26,0,0,0,3,23,185,55,121,9,0
Fairfield,2874,4,0,0,0,0,4,30,10,18,2,0
Fair Oaks Ranch,6437,1,0,0,0,0,1,30,15,13,2,0
Falfurrias,4919,9,1,0,0,1,7,109,53,56,0,0
Farmers Branch,29609,65,0,0,10,26,29,1055,200,749,106,3
Farmersville,3448,7,0,0,2,0,5,120,30,86,4,0
Farwell,1347,3,0,0,0,1,2,14,1,12,1,0
Ferris,2498,11,1,0,3,1,6,59,14,41,4,0
Flatonia,1398,2,0,0,1,0,1,14,1,11,2,0
Florence,1213,0,0,0,0,0,0,5,0,5,0,0
Floresville,6882,13,0,0,0,0,13,273,38,221,14,0
Flower Mound,68835,39,1,2,0,5,31,491,86,384,21,5
Floydada,2991,11,0,0,1,0,10,60,27,31,2,0
